lens_series,IOL_dpt
Zeiss CT Lucia 621 P/PY,18.5
Zeiss CT Lucia 621 P/PY,21.5
Zeiss CT Lucia 621 P/PY,21.0
Bausch & Lomb Envista,19.0
Bausch & Lomb Envista,18.0
Alcon Vivity,21.5
Alcon Vivity,19.5
MBI SAL 302A,17.0
Zeiss AT Torbi,-2.5
Alcon Vivity,26.5
MBI SAL 302A,28.0
Alcon Vivity,22.5
Alcon Clareon,14.5
Alcon Clareon,15.5
Bausch & Lomb Envista,20.0
Bausch & Lomb Envista,19.5
Alcon Clareon,12.5
